v,omega,x,y,phi,xr,yr,phir,delta
-0.0686,-0.0508,81.5919,0.9967,-0.0157,81.8993,0.9441,-0.0330,-0.0271
-0.0684,-0.0507,81.6918,0.9937,-0.0167,81.9993,0.9408,-0.0339,-0.0270
-0.0683,-0.0506,81.7918,0.9907,-0.0177,82.0993,0.9373,-0.0348,-0.0270
-0.0682,-0.0505,81.8918,0.9875,-0.0187,82.1993,0.9338,-0.0358,-0.0269
-0.0681,-0.0504,81.9917,0.9843,-0.0197,82.2993,0.9302,-0.0367,-0.0268
-0.0679,-0.0503,82.0917,0.9810,-0.0207,82.3993,0.9264,-0.0376,-0.0268
-0.0678,-0.0502,82.1916,0.9776,-0.0217,82.4993,0.9226,-0.0385,-0.0267
-0.0676,-0.0501,82.2916,0.9740,-0.0227,82.5993,0.9187,-0.0395,-0.0266
-0.0674,-0.0500,82.3915,0.9704,-0.0237,82.6993,0.9147,-0.0404,-0.0266
-0.0673,-0.0498,82.4915,0.9667,-0.0247,82.7993,0.9106,-0.0413,-0.0265
-0.0671,-0.0497,82.5914,0.9629,-0.0257,82.8993,0.9065,-0.0422,-0.0264
-0.0669,-0.0496,82.6913,0.9590,-0.0267,82.9993,0.9022,-0.0431,-0.0263
-0.0667,-0.0494,82.7912,0.9549,-0.0277,83.0993,0.8978,-0.0440,-0.0263
-0.0665,-0.0493,82.8912,0.9508,-0.0287,83.1993,0.8934,-0.0449,-0.0262
-0.0663,-0.0491,82.9911,0.9466,-0.0297,83.2993,0.8889,-0.0458,-0.0261
-0.0661,-0.0490,83.0910,0.9423,-0.0307,83.3993,0.8842,-0.0467,-0.0260
-0.0659,-0.0488,83.1909,0.9380,-0.0316,83.4993,0.8795,-0.0476,-0.0259
-0.0657,-0.0487,83.2908,0.9335,-0.0326,83.5993,0.8747,-0.0484,-0.0258
-0.0654,-0.0485,83.3907,0.9289,-0.0336,83.6993,0.8698,-0.0493,-0.0257
-0.0652,-0.0483,83.4906,0.9242,-0.0346,83.7993,0.8648,-0.0502,-0.0256
-0.0649,-0.0481,83.5905,0.9195,-0.0355,83.8993,0.8598,-0.0510,-0.0255
-0.0647,-0.0479,83.6904,0.9146,-0.0365,83.9993,0.8546,-0.0519,-0.0254
